pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
Kepler-28 b,,1.959,,,4499.3,0.664,0.684,,438.359,1,2,2011
Kepler-732 b,,2.18,,,3631.0,0.46,0.49,,174.826,1,2,2016
Kepler-691 b,,2.09,,,3715.0,0.5,0.53,,279.115,1,1,2016
Kepler-834 b,,2.02,,,4554.0,0.66,0.7,,633.937,1,1,2016
Kepler-833 b,,2.02,,,4339.0,0.62,0.64,,467.37,1,1,2016
Kepler-732 c,,1.27,,,3631.0,0.46,0.49,,174.826,1,2,2016
Kepler-953 c,,1.19,,,5416.0,0.99,0.95,,258.893,1,2,2016
Kepler-127 c,0.2,2.66,,,6106.0,1.359,,,352.794,1,3,2014
Kepler-478 b,,2.71,,,5210.0,0.8,0.85,,,1,1,2016
Kepler-57 b,,3.135,0.0162,,5187.9,0.826,0.859,,644.14,1,2,2012
Kepler-238 b,0.034,1.73,,,5751.0,1.43,,,1798.75,1,5,2014
Kepler-975 b,,1.48,,,4897.0,0.75,0.8,,426.088,1,2,2016
Kepler-1142 b,,1.47,,,5685.0,0.96,0.97,,1273.51,1,1,2016
EPIC 249893012 b,0.047,1.95,0.06,1037.0,5430.0,1.71,1.05,,321.296,1,3,2020
HATS-51 b,0.04639,15.80469,0.33,,5758.0,1.44,1.187,0.30963,389.57,1,1,2017
HD 165131 b,3.54,,0.6708,,5870.0,,1.06,,57.4263,1,1,2023
Kepler-56 c,0.1652,9.8,,,4840.0,4.23,1.32,,912.994,1,3,2012
Kepler-279 c,,4.3,,,,1.07,1.1,,1037.4,1,4,2013
HIP 41378 e,,,,,6226.0,1.343,1.168,,106.289,1,5,2016
TOI-201 b,0.3026,11.82547464,0.318,,,1.339,1.316,,113.825,1,2,2021
HIP 41378 d,,,,,6226.0,1.343,1.168,,106.289,1,5,2016
Kepler-221 c,0.059,2.93,,,5243.0,0.821,,,385.231,1,4,2014
Kepler-905 b,,1.41,,,5461.0,0.86,0.95,,529.268,1,1,2016
Kepler-1101 b,,2.47,,,5614.0,0.91,0.94,,742.473,1,1,2016
Kepler-514 b,,1.72,,,6106.0,1.44,1.28,,455.336,2,1,2016
Kepler-33 c,0.1189,3.2,0.0,,5904.0,1.82,1.291,0.556,1209.16,1,5,2011
HD 235088 b,0.0706,1.982,0.0,,5075.0,0.772,0.849,-0.4437,41.1706,1,1,2023
Kepler-1636 b,,3.23,,,5797.0,1.02,1.01,,1947.54,1,1,2016
DMPP-1 c,0.0733,,0.057,,6196.0,1.26,1.21,,62.5388,1,4,2019
Kepler-1127 b,,1.96,,,5664.0,0.95,0.97,,842.459,1,1,2016
HD 74156 c,3.678,,0.377,,,,1.1,,57.603,1,2,2003
K2-68 b,0.0708,1.58,,41.0,4746.0,0.675,0.73,,168.652,1,1,2016
Kepler-238 d,0.115,3.07,,,5751.0,1.43,,,1798.75,1,5,2014
Kepler-1921 c,0.0454,1.41,0.0,2436.47,6120.0,2.0,1.251,,928.989,1,2,2023
Kepler-46 c,0.2799,,0.0146,,5155.0,0.938,0.902,-0.255,777.06,1,3,2012
Kepler-122 d,0.155,2.2,,,6050.0,1.216,,,1027.45,1,5,2014
KOI-94 b,0.05119,1.71,0.25,,6182.0,1.52,1.277,0.479,477.052,2,4,2013
TOI-2669 b,,19.72780603,0.09,,4800.0,4.1,1.19,,393.443,1,1,2022
Kepler-130 d,0.377,1.64,,,5884.0,1.127,,,316.663,2,3,2014
Kepler-1358 b,,1.12,,,5181.0,0.79,0.82,,546.998,1,1,2016
Kepler-279 d,,3.1,,,,1.07,1.1,,1037.4,1,4,2013
Kepler-319 c,0.069,2.63,,,5526.0,0.903,,,503.436,1,3,2014
Kepler-414 c,,3.01,,,,0.946,0.89,,413.46,1,2,2014
Kepler-58 b,,2.78,,,5843.0,1.03,0.95,,969.252,1,4,2012
HD 191939 b,0.0804,3.41,0.031,100.0,5348.0,0.94,0.81,-0.18709,53.6089,1,6,2020
HAT-P-41 b,,22.97845,0.0,,6390.0,2.05,2.56,,348.185,2,1,2012
Kepler-407 b,,1.19,,,5487.0,1.04,0.99,-0.10791,338.368,1,2,2014
Kepler-48 d,,2.04,,,5194.0,0.89,0.88,,306.738,1,5,2014
Kepler-223 c,,3.44,0.15,,,1.72,1.125,,1859.71,1,4,2014
TOI-2260 b,0.0097,1.62,,,5534.0,0.94,0.99,,101.251,1,1,2022
WASP-189 b,0.05053,18.14733975,0.0,,8000.0,2.36,2.03,,99.731,1,1,2020
Kepler-229 b,0.062,2.2,,,5120.0,0.728,,,826.265,1,3,2014
Kepler-26 c,,2.72,,4.82,3914.0,0.512,0.544,,335.307,1,4,2011
Kepler-1821 b,,2.59248115,,,5475.0,0.884,0.946,,799.699,1,1,2021
Kepler-54 b,,2.1,,,3705.0,0.5,0.51,,271.701,1,3,2012
Kepler-166 b,0.072,2.27,,,5413.0,0.742,,,603.53,1,3,2014
Kepler-51 d,0.509,9.7,0.008,,6018.0,0.94,1.04,,783.831,1,4,2014
Kepler-462 b,,3.0,0.042,,7500.0,1.57,1.59,,596.625,1,2,2016
Kepler-324 e,,2.03862444,,,5191.0,0.826,0.844,,501.574,1,4,2021
Kepler-450 c,,2.62,0.02,,6197.21,1.64162,1.19,0.55403,455.982,1,3,2015
Kepler-100 d,,1.61,,,5825.0,1.49,1.08,,304.645,1,4,2014
TRAPPIST-1 b,0.01154,1.116,,4.153,2566.0,0.1192,0.0898,-3.25727,,1,7,2016
TRAPPIST-1 d,0.02227,0.788,,1.115,2566.0,0.1192,0.0898,-3.25727,,1,7,2016
TRAPPIST-1 f,0.03849,1.045,,0.373,2566.0,0.1192,0.0898,-3.25727,,1,7,2017
TRAPPIST-1 g,0.04683,1.129,,0.252,2566.0,0.1192,0.0898,-3.25727,,1,7,2017
Kepler-1749 b,,1.61301783,,,3957.0,0.553,0.551,,268.2,1,1,2021
Kepler-1321 d,,2.62843782,,,3640.0,0.503,0.513,,769.146,1,3,2021
Kepler-1855 b,,1.216205,,,3460.0,0.356,0.385,,,1,1,2021
Kepler-1826 b,,1.47519116,,,3821.0,0.486,0.49,,336.952,1,1,2021
Kepler-11 d,0.155,3.12,0.004,,5663.0,1.065,0.961,,646.346,1,6,2010
Kepler-10 d,0.5379,,0.19,,5708.0,1.065,0.91,,185.506,1,3,2023
HD 191939 e,0.407,,0.031,3.9,5348.0,0.94,0.81,-0.18709,53.6089,1,6,2022
Kepler-102 f,0.1656,0.861,0.1,10.0,4909.0,0.724,0.803,,107.796,1,5,2014
KOI-13 b,0.03641,16.948008,0.00064,,7650.0,1.74,1.72,,519.096,3,1,2011
KOI-1831 d,,1.13,,,5233.0,0.835,0.901,,501.574,1,4,2021
Kepler-128 c,,1.521,0.037,,6072.0,1.659,1.184,,396.379,1,2,2013
WASP-148 b,0.08215,8.47398941,0.208,,5555.0,0.912,0.954,-0.13906,246.353,1,2,2020
WASP-148 c,0.2044,,0.1809,,5555.0,0.912,0.954,-0.13906,246.353,1,2,2020
Kepler-487 c,,2.68,,,5444.0,0.88,0.91,,872.343,1,3,2016
Kepler-359 d,0.372,4.01,,,6248.0,1.086,,,1443.21,1,3,2014
Kepler-287 c,0.246,3.26,,,5806.0,1.032,,,835.86,1,2,2014
Kepler-122 e,0.227,2.6,,,6050.0,1.216,,,1027.45,1,5,2014
TOI-1669 b,1.27,,0.0,,5497.0,1.0561,0.9867,-0.03574,111.276,1,2,2023
Kepler-967 b,,2.35,,,5178.0,0.8,0.84,,568.546,1,2,2016
Kepler-33 b,0.0677,1.74,0.0,,5904.0,1.82,1.291,0.556,1209.16,1,5,2011
Kepler-1752 b,,4.54060463,,,5446.0,0.821,0.824,,962.888,1,1,2021
Kepler-176 d,0.163,2.51,,,5232.0,0.891,,,527.321,1,4,2014
Kepler-678 b,,5.14,,,5520.0,0.91,0.94,,1826.15,1,1,2016
Kepler-58 e,0.0533,1.61,0.0,511.6,6100.0,1.083,1.017,,969.252,1,4,2023
