player,position,team,season,games,passing_yards,rushing_attempts,rushing_yards,receptions,receiving_yards,tackles,pro_bowl,total_yards,workload,efficiency_run,efficiency_rec,is_offense
Matthew Hayball,P,NO,2024,1,0,1,11,0,0,0,0,11,1,11.0,0.0,0
Cody Schrader,RB,LA,2024,1,0,1,3,1,6,0,0,9,2,3.0,6.0,1
Jared Wiley,TE,KC,2024,1,0,0,0,1,7,0,0,7,1,0.0,7.0,1
Isaiah Williams,WR,CIN,2024,1,0,0,0,2,6,0,0,6,2,0.0,3.0,1
Dell Pettus,DB,NE,2024,1,0,1,2,0,0,0,0,2,1,2.0,0.0,0
British Brooks,RB,HOU,2024,1,0,1,2,0,0,0,0,2,1,2.0,0.0,1
Jaden Hicks,DB,KC,2024,1,0,1,1,0,0,0,0,1,1,1.0,0.0,0
Baylor Cupp,TE,KC,2024,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1
JC Latham,OL,TEN,2024,1,0,0,0,1,0,0,0,0,1,0.0,0.0,0
Brenden Bates,TE,CLE,2024,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1
Dylan Laube,RB,LV,2024,1,0,1,0,0,0,0,0,0,1,0.0,0.0,1
Jermaine Jackson,WR,NO,2024,1,0,1,-1,0,0,0,0,-1,1,-1.0,0.0,1
