pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year,habitable_candidate
K2-140 b,0.068,13.56286665,0.0,204.0,5585.0,1.06,0.96,,347.917,1,1,2017,0
Kepler-311 d,0.7326,2.05,0.0,2.71,5903.0,1.156,0.974,,778.654,1,3,2023,0
Kepler-454 b,0.09528,2.37,0.32,117.7,5687.0,1.066,1.03,,230.869,2,3,2015,0
PH2 b,0.833,9.33708092,0.215,1.2,5734.0,0.949,0.966,-0.05849,343.863,1,1,2013,0
TOI-3023 b,0.0505,16.43236571,0.0,1084.0,5760.0,1.668,1.12,0.44404,389.916,1,1,2023,0
NGTS-27 b,0.0446,15.64773706,0.0,1680.0,5700.0,1.77,1.07,0.51375,942.122,1,1,2024,0
TOI-3261 b,0.01714,3.82,0.0,1466.0,5068.0,0.849,0.861,-0.36653,300.141,1,1,2024,0
TOI-3540 A b,0.04289,23.53885947,0.0,841.3,5810.0,1.228,1.081,0.19005,,2,1,2022,0
TOI-3807 b,0.0421,18.49481816,0.0,1230.0,5772.0,1.468,1.181,0.33244,421.745,1,1,2023,0
TOI-2580 b,0.048,17.37392009,0.08,1730.0,6120.0,1.81,1.33,0.61595,379.253,1,1,2024,0
TOI-2587 A b,0.0635,12.07207221,0.0,728.0,5760.0,1.726,1.15,0.47129,373.675,2,1,2023,0
TOI-2641 b,0.0607,18.10250383,0.18,602.0,6100.0,1.336,1.16,0.34044,344.045,1,1,2023,0
TOI-3984 A b,0.041,7.9,0.23,16.7,3476.0,0.47,0.49,,108.883,2,1,2023,0
TOI-4010 b,0.0229,3.02,0.03,714.0,4960.0,0.83,0.88,,177.504,1,4,2023,0
TOI-4438 b,0.0534,2.52,0.14,6.0,3422.0,0.372,0.368,-1.76802,30.0346,1,1,2024,0
TOI-4791 b,0.0555,12.44196858,0.0,783.2,6058.0,1.409,1.242,0.38021,328.802,1,1,2023,0
TOI-5388.01,0.024335855,1.89426,,3.3023,3495.0,0.31,0.28572,,18.5226,1,1,2024,0
TOI-5542 b,0.332,11.30986153,0.018,9.6,5700.0,1.058,0.89,1.057,348.849,1,1,2022,0
TOI-5573 b,0.0712,9.75,0.072,12.92,3790.0,0.594,0.619,-1.15927,186.562,1,1,2025,0
TOI-5634 A b,0.0272,10.42,0.0,77.0,3896.0,0.54,0.556,-1.24489,306.144,2,1,2024,0
TOI-5688 A b,0.03379,10.3,0.128,50.3,3713.0,0.57,0.6,-1.22841,226.318,2,1,2024,0
TOI-5799 b,0.034901,1.858,,13.35,3521.0,0.343,0.327,,27.8123,1,1,2024,0
GJ 486 b,0.01714,1.289,0.00086,39.2,3317.0,0.3243,0.312,-1.93892,8.07426,1,1,2021,0
Kepler-296 e,0.169,1.53,0.33,1.41,3740.0,0.48,0.498,,,2,5,2014,1
Kepler-1987 d,0.0571,2.66,0.0,72.38,4769.0,0.714,0.799,,595.683,1,4,2023,0
TOI-2076 b,,2.39,0.0,49.4,5201.0,0.774,0.883,,41.9091,1,4,2021,0
HAT-P-64 b,0.05387,19.08889413,0.101,1611.0,6457.0,1.735,1.298,0.66839,651.897,1,1,2021,0
TOI-1062 b,0.052,2.265,0.177,232.0,5328.0,0.84,0.94,,82.1733,1,2,2021,0
TOI-2081 b,0.0752,2.04,,8.1,3800.0,0.534,0.54,-1.33847,62.3446,1,1,2022,0
TOI-411 c,0.1017,2.328,,156.75,6169.0,1.117,1.098,,62.7792,1,3,2022,0
TOI-512 b,,1.54,0.02,127.0,5277.0,0.89,0.74,-0.25696,67.3975,1,1,2025,0
TOI-712 b,0.07928,2.049,0.54,22.6,4622.0,0.674,0.732,-0.72793,58.6212,1,3,2022,0
TOI-1173 b,0.0696,9.19,0.023,132.0,5350.0,0.934,0.911,,132.353,2,1,2024,0
TOI-1470 c,0.106,2.47,0.5,3.35,3709.0,0.469,0.471,-1.42481,51.9503,1,2,2023,0
HD 136352 b,0.0964,1.664,0.0,111.6,5664.0,1.058,0.87,0.0162,14.682,1,3,2019,0
TOI-1768.01,0.076381,3.453,,240.87,5994.0,1.1,1.1,,157.597,1,1,2024,0
TOI-4336 A b,0.0872,2.12,,1.5,3298.0,0.328,0.331,-1.9431,22.5455,3,1,2024,0
Kepler-1980 b,0.2049,2.21,0.0,23.95,5819.0,0.99,1.049,,1709.4,1,1,2023,0
Kepler-78 b,0.00901,1.201,0.0,4070.0,5058.0,0.7475,0.779,,124.376,2,1,2013,0
Kepler-436 b,0.339,2.73,0.19,1.69,4651.0,0.697,0.729,-0.701,588.867,1,2,2015,0
HD 219134 c,0.0653,1.511,0.062,62.1,4699.0,0.778,0.81,-0.57741,6.53127,1,6,2015,0
HD 219134 f,0.1463,1.31,0.148,12.38,4699.0,0.778,0.81,-0.57741,6.53127,1,6,2015,0
TOI-2364 b,0.04871,8.60849718,0.0,237.0,5306.0,0.886,0.954,-0.25181,219.614,1,1,2023,0
LP 890-9 b,0.01875,1.32,,4.09,2850.0,0.1556,0.118,-2.84134,32.4298,1,2,2022,0
NGTS-33 b,0.048,18.38272835,0.0,2620.0,7437.0,1.47,1.6,0.77159,437.855,1,1,2024,0
Kepler-107 d,0.08377,0.86,0.11,315.0,5854.0,1.447,1.238,,525.997,1,4,2014,0
K2-292 b,0.13,2.63,0.04,67.0,5725.0,1.09,1.0,,114.293,1,1,2019,0
K2-42 b,0.0617,2.15,,44.1,4613.0,0.643,0.702,,396.913,1,1,2016,0
Kepler-549 d,0.1575,4.2,0.0,27.93,5312.0,0.986,0.859,,635.145,1,3,2023,0
K2-5 b,0.0532,1.91,,24.1,3930.0,0.57,0.61,,202.943,1,2,2015,0
Kepler-20 c,0.0936,2.894,0.076,78.7,5495.0,0.9164,0.929,,282.563,2,6,2011,0
Kepler-1876 b,0.0758,0.853,0.098,475.0,6104.0,1.477,1.187,,259.935,1,1,2021,0
Kepler-763 d,0.0634,1.67,0.0,98.81,4999.0,0.843,0.8,,962.459,1,3,2023,0
Kepler-763 c,0.0466,1.42,0.0,182.9,4999.0,0.843,0.8,,962.459,1,3,2023,0
K2-3 c,0.1357,1.582,0.048,3.17,3844.0,0.546,0.549,-1.23136,44.0727,1,3,2015,0
K2-35 c,0.055,1.93,0.12,68.0,4402.71,0.619575,0.701968,,252.596,1,2,2016,0
TOI-6054.02,0.110878,2.864,,265.34,6112.0,1.612,1.15,,79.407,1,2,2024,0
AU Mic c,0.1108,2.52202066,0.00338,7.3,3678.0,0.744,0.51,-1.0381,9.7221,1,3,2021,0
TOI-1075 b,0.01159,1.791,0.0,509.2,3875.0,0.581,0.604,,61.4592,1,1,2022,0
K2-12 b,0.0792,2.44,0.5,185.0,5672.0,1.117,0.965,,326.381,1,1,2015,0
K2-36 b,0.02288,1.43,0.093,519.0,4916.0,0.718,0.79,,109.749,1,2,2016,0
K2-50 b,0.0705,1.59,,18.8,4326.0,0.546,0.611,,257.443,1,2,2016,0
HD 260655 b,0.02933,1.24,0.039,42.2,3803.0,0.439,0.439,-1.43997,10.0055,1,2,2022,0
Kepler-1181 c,0.0928,1.83,0.0,377.25,6688.0,1.347,1.336,,938.417,1,2,2023,0
Kepler-1987 b,0.0318,1.23,0.0,233.38,4769.0,0.714,0.799,,595.683,1,4,2023,0
Kepler-1987 e,0.0765,1.92,0.0,40.33,4769.0,0.714,0.799,,595.683,1,4,2023,0
KELT-4 A b,0.04317,19.044091,0.0,1840.0,6206.0,1.603,1.201,0.53529,218.05,3,1,2016,0
Kepler-1801 c,0.4572,2.91,0.0,4.47,5738.0,0.981,0.936,,839.332,1,2,2023,0
TOI-1659.01,0.065757,2.255,,268.44,5977.0,1.006,1.1,,122.494,1,1,2024,0
K2-216 b,0.028,1.75,0.0,248.0,4503.0,0.72,0.7,-0.72125,115.461,1,1,2018,0
EPIC 220674823 b,0.01314,1.676,0.0,4656.0,5578.0,0.99,0.913,,244.59,1,2,2016,0
Kepler-442 b,0.409,1.34,0.04,0.66,4402.0,0.598,0.609,-0.932,365.965,1,1,2015,1
HD 1397 b,0.1097,11.500434,0.251,356.0,5521.0,2.336,1.324,0.65992,79.5702,1,1,2018,0
HD 95338 b,0.262,3.89,0.197,7.42,5212.0,0.87,0.83,-0.3098,36.9941,1,1,2020,0
TOI-4010 d,0.113,6.18,0.07,30.0,4960.0,0.83,0.88,,177.504,1,4,2023,0
Kepler-68 b,0.06135,2.357,0.09,441.0,5847.0,1.2564,1.057,,144.166,2,4,2013,0
Kepler-20 b,0.04565,1.773,0.083,331.0,5495.0,0.9164,0.929,,282.563,2,6,2011,0
EPIC 229004835 b,0.1237,2.332,0.23,69.7,5868.0,0.999,0.97,,121.971,1,1,2023,0
Kepler-1518 c,0.0905,2.9,0.0,338.33,6432.0,1.345,1.06,,903.51,1,2,2023,0
WASP-76 b,0.033,20.78145022,0.0,4104.0,6329.0,1.756,1.458,,194.459,2,1,2016,0
Kepler-1052 c,0.6135,2.3,0.0,1.96,5818.0,0.848,0.937,,943.444,1,2,2023,0
HATS-59 b,0.06112,12.621334,0.129,269.0,5670.0,1.036,1.038,-0.00436,642.884,1,2,2018,0
Kepler-109 b,0.0701,2.49,0.11,442.0,5950.0,1.387,1.094,,474.861,1,2,2014,0
K2-285 d,0.1178,2.48,0.0,24.61,4975.0,0.787,0.83,,154.961,1,4,2018,0
TOI-1777.01,0.119466,2.246,,71.34,5859.0,0.98,1.06,,79.7665,1,1,2024,0
GPX-1 b,0.0338,16.47720163,0.0,4650.0,7000.0,1.56,1.68,0.72673,655.013,1,1,2021,0
K2-133 e,0.1346,1.73,,1.8,3655.0,0.455,0.461,-1.47886,75.1703,1,4,2019,0
Kepler-296 d,0.118,2.09,0.33,2.9,3740.0,0.48,0.498,,,2,5,2014,0
K2-3 d,0.2014,1.458,0.091,1.44,3844.0,0.546,0.549,-1.23136,44.0727,1,3,2015,1
K2-25 b,0.0287,3.44,0.428,9.91,3207.0,0.2932,0.2634,-2.08831,44.9565,1,1,2015,0
K2-8 b,0.0856,3.58,,37.7,4870.0,0.74,0.78,,403.513,1,2,2015,0
K2-130 b,0.032,1.25,0.17,136.4,4356.47,0.744261,0.69563,,118.011,1,1,2017,0
WASP-174 b,0.05503,16.10730527,0.0,901.9,6399.0,1.347,1.24,0.43616,410.149,1,1,2018,0
TOI-261.01,0.034792189,3.0449863,,874.7956,5890.3,1.28018,0.496728,,114.495,1,1,2024,0
Gliese 12 b,0.0668,0.958,0.5,1.62,3296.0,0.2617,0.2414,-2.13787,12.21,1,1,2024,1
K2-414 c,0.0552,1.9287,,56.13,4343.0,0.732,0.814,,260.036,1,2,2022,0
TOI-6086 b,0.01541,1.18,,26.8,3200.0,0.259,0.254,-2.19791,31.4566,1,1,2024,0
Kepler-1652 b,0.1654,1.6,,0.81,3638.0,0.382,0.404,-1.638,,1,1,2017,1
TOI-1799 b,0.072502,1.642,,164.26,5690.0,0.957,1.01,,62.1274,1,1,2024,0
KELT-18 b,0.0455,17.59813,0.0,3152.0,6670.0,1.908,1.524,0.81291,321.376,2,1,2017,0
HD 219134 b,0.03876,1.602,0.0,176.2,4699.0,0.778,0.81,-0.57741,6.53127,1,6,2015,0
Kepler-864 c,0.0382,1.62,0.0,1305.04,6213.0,1.195,1.27,,2022.9,1,2,2023,0
TOI-5726.01,0.062186,2.554,,338.95,5874.0,1.106,1.06,,108.848,1,1,2024,0
NGTS-18 b,0.0448,13.56286665,0.0,845.0,5610.0,1.392,1.003,,1096.19,1,1,2021,0
TOI-712 d,0.3405,2.474,0.073,1.6,4622.0,0.674,0.732,-0.72793,58.6212,1,3,2022,0
K2-49 b,0.0309,1.93,,59.0,4175.0,0.45,0.51,,457.125,1,1,2016,0
K2-413 c,0.0426,1.2327,,69.529,4116.0,0.7,0.808,,285.162,1,2,2022,0
TOI-3912 b,0.0463,14.28024141,0.0,872.2,5725.0,1.392,1.088,0.27323,465.992,1,1,2023,0
K2-116 b,0.048,0.69,0.06,78.6,4348.35,0.6694,0.694512,,49.3855,1,1,2017,0
KELT-12 b,0.06708,19.95202,0.0,1749.0,6279.0,2.37,1.591,0.89209,368.03,1,1,2017,0
HAT-P-61 b,0.0301,10.07687365,0.113,849.5,5587.0,0.938,1.004,-0.1152,338.84,1,1,2021,0
HD 20329 b,0.018,1.72,0.0,3474.0,5596.0,1.13,0.9,0.04922,63.6796,1,1,2022,0
Kepler-107 b,0.04544,1.536,0.1,1073.0,5854.0,1.447,1.238,,525.997,1,4,2014,0
TOI-871 b,0.1054,1.664,,24.78,4929.0,0.719,0.758,-0.56004,68.0473,1,1,2024,0
WASP-195 b,0.063,10.31226224,0.0,890.0,6300.0,1.578,1.3,,484.852,1,1,2025,0
TOI-4184 b,0.0336,2.43,,4.8,3238.0,0.2347,0.2109,-2.2644,69.3649,1,1,2023,0
KELT-19 A b,0.0637,21.40919,,2340.0,7500.0,1.83,1.62,0.97772,300.276,2,1,2017,0
K2-59 c,0.0905,2.3,,38.3,5055.0,0.731,0.774,,311.313,1,2,2016,0
TOI-406.01,0.0809,2.08,0.056,3.0,3392.0,0.41,0.408,-1.71444,31.0597,1,2,2024,0
WASP-166 b,0.0641,7.06167,0.0,440.0,6050.0,1.22,1.19,,114.173,1,1,2019,0
TOI-1420 b,0.071,11.89,0.17,139.0,5510.0,0.923,0.987,-0.15181,201.918,1,1,2023,0
HD 3167 c,0.1776,3.0,0.06,16.9,5261.0,0.88,0.837,,47.2899,1,4,2016,0
TOI-3884 b,0.0361,6.43,0.06,6.29,3180.0,0.302,0.298,,43.1448,1,1,2022,0
HATS-74 A b,0.02384,11.56766808,0.044,106.9,3776.9,0.5758,0.601,-1.2161,299.389,2,1,2021,0
K2-141 b,0.00747,1.51,0.0,3260.0,4570.0,0.681,0.708,,61.8736,1,2,2018,0
GJ 9827 d,0.053,1.98,,34.9,4236.0,0.58,0.62,-1.00436,29.661,1,3,2017,0
HIP 29442 d,0.0673,1.538,,203.0,5289.0,0.98,0.901,,68.192,1,3,2023,0
TOI-782 b,0.0578,2.734,0.19,5.91,3370.0,0.413,0.397,-1.70246,52.5122,1,1,2024,0
HIP 65 A b,0.01782,22.75427,0.0,661.0,4590.0,0.7242,0.781,-0.67799,61.7856,2,1,2020,0
K2-222 b,0.1206,2.35,0.16,96.0,5942.0,1.115,0.989,,101.321,1,1,2018,0
Kepler-441 b,0.64,1.64,0.1,0.21,4340.0,0.55,0.572,-1.051,268.003,1,1,2015,0
HAT-P-65 b,0.04042,18.05766791,,1821.0,5872.0,1.666,1.297,0.47276,738.519,1,1,2016,0
K2-48 b,0.1344,2.24,,15.3,4899.0,0.73,0.77,,313.764,1,1,2016,0
K2-62 b,0.0636,2.14,,66.0,4880.0,0.73,0.77,,112.467,1,2,2016,0
HATS-68 b,0.05071,13.809488,0.036,1521.0,6147.0,1.748,1.351,0.59218,603.955,1,1,2018,0
HD 152843 b,0.1053,3.41,0.14,255.7,6310.0,1.43,1.15,,107.898,1,2,2021,0
WASP-194 b,0.047,15.47960235,0.0,1365.0,6405.0,1.409,1.29,,476.831,1,1,2025,0
HD 73583 b,0.0604,2.79,0.09,43.3,4511.0,0.65,0.73,,31.5666,1,2,2022,0
TOI-5205 b,0.0199,11.6,0.02,49.0,3430.0,0.394,0.392,-1.7122,86.4493,1,1,2023,0
TOI-6016 b,0.055,13.67495645,0.0,940.0,6110.0,1.51,1.31,0.4609,364.715,1,1,2024,0
TOI-836 c,0.075,2.587,0.078,26.707,4552.0,0.665,0.678,,27.5024,1,2,2023,0
HD 80653 b,0.01661,1.613,0.0,6130.0,5959.0,1.22,1.18,,109.86,1,2,2020,0
K2-199 b,0.0382,1.73,0.02,116.2,4491.0,0.682,0.711,-0.73283,107.518,1,2,2018,0
K2-9 b,0.091,2.25,,1.36,3390.0,0.31,0.3,-1.92082,82.9631,1,1,2015,0
TOI-4603 b,0.0888,11.67975789,0.325,1192.0,6264.0,2.738,1.765,1.01703,225.643,1,1,2023,0
Kepler-37 b,0.1019,0.3098,0.098,44.5,5357.0,0.789,0.79,,63.9207,1,4,2013,0
EPIC 220674823 c,0.1073,2.84,0.17,70.0,5578.0,0.99,0.913,,244.59,1,2,2016,0
TOI-3688 A b,0.0456,13.08088048,0.0,924.3,5950.0,1.302,1.199,0.2833,396.378,2,1,2023,0
Kepler-452 b,1.046,1.63,,1.1,5757.0,1.11,1.037,,551.727,1,1,2015,1
