pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year,habitable_candidate
TOI-5126 b,0.06519,4.74,0.0,467.0,6150.0,1.241,1.24,0.29885,160.414,1,2,2023,0
K2-4 b,0.078,2.1,0.08,15.6,4014.73,0.569359,0.635026,,231.828,1,1,2015,0
Kepler-439 b,0.563,2.24,0.03,1.83,5431.0,0.866,0.884,-0.236,757.048,1,1,2015,0
TOI-880.02,0.034190955,2.7779229,,301.8661,4935.0,0.816999,0.805415,,60.6679,1,1,2024,0
TOI-2120 b,0.0377,2.122,0.32,3.61,3131.0,0.245,0.211,-2.28651,32.1755,1,1,2024,0
HAT-P-51 b,0.05042,13.50682174,,310.0,5453.0,0.995,0.961,-0.10237,440.089,1,1,2015,0
Kepler-22 b,0.812,2.1,0.72,1.013,5596.0,0.869,0.857,,194.642,1,1,2011,0
WASP-44 b,0.03453,12.3299,,533.0,5420.0,0.906,0.935,-0.19777,364.512,1,1,2011,0
Kepler-347 d,0.3802,3.04,0.0,12.75,5592.0,1.451,1.0,,1298.88,1,3,2023,0
TOI-1180 b,0.080799,3.072,,36.97,4738.0,0.73,0.75,,72.0238,1,1,2024,0
Kepler-1669 d,0.0468,1.22,0.0,47.3,4224.0,0.603,0.609,,543.444,1,3,2023,0
TOI-2977 b,0.03386,13.15934334,0.0,947.8,5691.0,1.073,0.936,0.03703,,1,1,2023,0
TOI-2084 b,0.05006,2.47,,12.8,3551.0,0.475,0.453,-1.49214,114.549,2,1,2023,0
Kepler-109 c,0.1546,2.65,0.098,91.0,5950.0,1.387,1.094,,474.861,1,2,2014,0
K2-66 b,0.05983,2.49,0.0,840.0,5887.0,1.67,1.11,,513.877,1,1,2016,0
K2-90 c,0.035,1.3,0.19,80.8,4421.98,0.634754,0.704613,,134.188,1,2,2016,0
TOI-3493 b,,3.22,,245.0,5844.0,1.228,1.023,,96.7224,1,1,2025,0
Kepler-1997 b,0.1815,2.28,0.0,44.86,6215.0,1.052,1.111,,1502.34,1,1,2023,0
Kepler-1987 c,0.0427,1.33,0.0,129.44,4769.0,0.714,0.799,,595.683,1,4,2023,0
TOI-1064 c,0.09429,2.651,0.088,26.8,4734.0,0.726,0.748,-0.62342,68.0726,1,2,2022,0
K2-199 c,0.0662,2.85,0.03,38.6,4491.0,0.682,0.711,-0.73283,107.518,1,2,2018,0
G 9-40 b,0.0418,1.9,0.0,6.27,3395.0,0.3026,0.2952,-1.96019,27.9276,1,1,2019,0
TOI-1782.01,0.05024,2.368,,56.25,4336.0,0.669,0.68,,95.2649,1,2,2024,0
Kepler-1996 c,0.3608,2.81,0.0,1.38,4580.0,0.675,0.748,,440.561,1,2,2023,0
TOI-1117 b,0.033,2.46,0.0,928.0,5635.0,1.05,0.97,-0.4437,167.598,1,3,2025,0
HIP 116454 b,0.0792,2.469,0.215,51.2858,5048.0,0.758,0.8,-0.47314,62.4491,2,1,2014,0
TOI-1470 b,0.0285,2.18,0.3,46.3,3709.0,0.469,0.471,-1.42481,51.9503,1,2,2023,0
WD 1856+534 b,0.0204,10.4,0.0,0.181,4710.0,0.0131,0.518,,24.7359,3,1,2020,0
K2-100 b,0.0301,3.88,0.0,1915.0,5945.0,1.24,1.15,,188.959,1,1,2016,0
TOI-4201 b,0.04,13.67495645,0.041,45.2,3794.0,0.63,0.61,-1.11919,189.011,1,1,2023,0
TOI-2379 b,0.05263,11.72459381,0.342,25.3,3707.0,0.622,0.645,,211.247,1,1,2024,0
K2-149 b,0.083,1.64,,7.0,3745.0,0.568,0.595,-1.3098,123.676,1,1,2018,0
TOI-1437 b,0.14,2.24,0.17,82.0,6008.0,1.17,1.1,0.28466,103.297,1,1,2024,0
TOI-4145 A b,0.04823,13.30506009,0.0,223.0,5281.0,0.859,0.905,-0.28735,205.387,2,1,2023,0
GJ 806 b,0.01406,1.331,,130.0,3600.0,0.4144,0.413,-1.58528,12.0445,1,2,2023,0
K2-136 b,0.0707,1.014,0.14,33.5,4500.0,0.677,0.742,-0.7765,59.2474,2,3,2017,0
Kepler-1814 c,0.0133,1.76,0.0,2011.27,4922.0,0.823,0.79,,726.346,1,2,2023,0
TOI-620 b,0.04825,3.76,0.22,20.8,3708.0,0.55,0.577,-1.28819,33.0231,1,1,2022,0
Kepler-538 b,0.3554,2.215,0.21,5.07,5534.0,0.8717,0.892,,155.956,2,1,2016,0
TOI-5082.01,0.051204842,2.54811,,254.588,5670.0,0.93,0.99665,,43.1406,1,1,2024,0
K2-61 b,0.0392,2.48,,1686.0,6293.0,1.36,1.21,,405.732,1,1,2016,0
TOI-3364 b,0.0675,12.22899794,0.0,425.0,5706.0,1.419,1.186,0.28556,277.899,1,1,2023,0
K2-81 b,0.059,1.97,0.06,62.9,4674.13,0.634663,0.745273,,252.318,1,1,2016,0
TOI-1416 b,0.019,1.62,0.0,883.0,4884.0,0.793,0.798,,55.0135,1,1,2023,0
Qatar-3 b,0.03783,12.285064,0.0,1330.0,6007.0,1.272,1.145,0.27875,735.601,1,1,2017,0
K2-329 b,0.1016,8.675766,0.0697,45.7,5282.0,0.822,0.901,-0.32514,233.237,1,1,2020,0
Kepler-656 c,0.0602,1.41,0.0,213.25,5550.0,0.954,1.05,,890.352,1,2,2023,0
K2-16 c,0.1229,2.54,,13.1,4742.0,0.66,0.68,,334.967,1,3,2015,0
EPIC 248847494 b,4.5,12.44199,0.0,0.19,4898.0,2.7,0.9,,551.886,1,1,2018,0
WASP-102 b,0.041,14.90794433,0.0,1293.0,5990.0,1.375,1.08,,535.689,1,1,2025,0
HAT-P-58 b,0.04994,14.93036229,0.073,1146.0,6078.0,1.53,1.031,0.45637,515.59,1,1,2021,0
Kepler-2001 c,0.1084,1.82,0.0,30.1,5081.0,0.77,0.864,,776.55,1,2,2023,0
TOI-564 b,0.02734,11.43318,0.072,1423.0,5640.0,1.088,0.998,0.03262,199.581,1,1,2020,0
K2-84 c,0.1768,2.03,,25.3,5652.0,0.93,0.95,,284.876,1,2,2016,0
HATS-63 b,0.04026,13.529263,0.136,634.1,5627.0,1.07,0.931,0.01199,623.232,1,1,2018,0
HAT-P-55 b,0.04628,14.84069045,,583.0,5804.0,1.105,1.028,0.09656,511.388,1,1,2015,0
TOI-1174 b,0.07994,2.562,,52.02,5030.0,0.76,0.85,,94.6375,1,1,2024,0
Kepler-20 e,0.0637,0.821,0.092,169.8,5495.0,0.9164,0.929,,282.563,2,6,2011,0
WASP-132 b,0.0674,10.09929161,0.0163,58.5,4686.0,0.758,0.789,-0.57512,122.91,1,3,2016,0
Kepler-1661 b,0.633,3.87,0.057,0.88,5100.0,0.762,0.841,,410.607,2,1,2020,0
Kepler-1491 c,0.3045,2.44,0.0,18.66,5626.0,1.389,0.991,,2065.59,1,2,2023,0
Kepler-1983 b,0.0689,2.33,0.0,100.13,5135.0,0.874,0.812,,424.428,1,1,2023,0
Kepler-107 e,0.12638,2.903,0.1,138.7,5854.0,1.447,1.238,,525.997,1,4,2014,0
HAT-P-68 b,0.02996,12.016048,0.041,184.8,4508.0,0.6701,0.6785,-0.77911,202.152,1,1,2020,0
NGTS-1 b,0.0326,14.90797,0.016,65.3,3916.0,0.573,0.617,,218.121,1,1,2017,0
HATS-61 b,0.07908,13.394755,0.092,374.2,5542.0,1.664,1.076,0.36922,679.761,1,1,2018,0
HATS-67 b,0.03032,18.887165,0.057,3821.0,6594.0,1.441,1.435,0.54654,960.109,1,1,2018,0
TOI-4487 A b,0.05448,14.60530185,0.083,1203.0,6206.0,1.634,1.378,0.55267,479.145,2,1,2025,0
TOI-5322 b,0.0604,16.6117094,0.055,554.0,5692.0,1.462,0.998,0.3075,476.899,1,1,2025,0
TOI-3682 b,0.048,12.80065596,0.22,1258.0,5703.0,1.735,1.32,0.45788,404.211,1,1,2025,0
TOI-6894 b,0.02604,9.5836785,0.029,5.54,3007.0,0.2276,0.207,-2.42597,73.8131,1,1,2025,0
HAT-P-60 b,0.06277,18.28184752,0.25,1634.0,6212.0,2.197,1.435,0.80889,233.22,1,1,2021,0
TOI-663 c,0.0437,2.26,,22.3,3681.0,0.512,0.514,,64.2308,1,3,2024,0
TOI-663 b,0.0295,2.27,,49.1,3681.0,0.512,0.514,,64.2308,1,3,2024,0
TOI-1135 b,0.082337403,9.34085,,254.894,5962.7,1.15,1.156039,,114.048,1,1,2024,0
TOI-1846 b,0.03646,1.792,,17.35,3568.0,0.397,0.418,-1.63714,47.2496,1,1,2025,0
TOI-2000 c,0.0878,8.14,0.063,149.0,5611.0,1.134,1.082,0.05956,175.713,1,2,2023,0
TOI-2031 A b,0.066,14.20177855,0.076,567.0,6490.0,1.241,1.174,0.39094,276.105,2,1,2025,0
TOI-2382 b,0.059,12.25141591,0.18,689.0,6033.0,1.417,1.26,0.37967,434.92,1,1,2025,0
TOI-2876 b,0.0654,9.6397234,0.13,124.2,5271.0,0.873,0.939,-0.27654,225.744,1,1,2025,0
TOI-2886 b,0.02871,18.6405349,0.11,2560.0,6240.0,1.241,1.229,0.32222,413.673,1,1,2025,0
TOI-3135 b,0.04756,13.65253849,0.24,464.0,5890.0,0.985,1.044,0.02119,221.673,1,1,2025,0
TOI-3593 b,0.0481,11.02963701,0.105,308.0,5550.0,0.918,1.015,-0.14146,226.63,1,1,2025,0
HAT-P-59 b,0.05064,12.58768533,0.03,441.4,5678.0,1.1038,1.008,0.05385,265.471,1,1,2021,0
Kepler-553 c,0.898,11.57887706,0.346,0.589,5191.0,0.902,0.889,-0.27084,728.525,1,2,2016,0
Kepler-1471 c,0.0981,1.88,0.0,118.5,5533.0,1.166,0.934,,978.678,1,2,2023,0
K2-38 c,0.0959,2.49,0.086,135.3,5705.0,1.141,1.054,,192.69,1,2,2016,0
TOI-122 b,0.0392,2.72,0.0,8.8,3403.0,0.334,0.312,-1.85387,62.118,1,1,2020,0
LTT 3780 c,0.0757,2.39,0.024,2.76,3358.0,0.38,0.381,-1.78252,21.9814,2,2,2020,0
HATS-47 b,0.04269,12.520453,0.088,87.73,4512.0,0.6564,0.674,-0.79615,300.67,1,1,2020,0
HATS-49 b,0.04515,8.574885,0.071,80.45,4405.0,0.6977,0.7133,-0.78489,324.413,1,1,2020,0
TOI-1728 b,0.0391,5.05,0.057,57.78,3980.0,0.6243,0.646,-1.05552,60.798,1,1,2020,0
TOI-700 c,0.0929,2.6,0.068,2.64,3459.0,0.421,0.415,-1.64016,31.1265,1,4,2020,0
TOI-700 b,0.0677,0.914,0.075,4.98,3459.0,0.421,0.415,-1.64016,31.1265,1,4,2020,0
NGTS-13 b,0.0549,12.800678,0.086,1096.0,5819.0,1.788,1.3,0.5172,647.595,1,1,2021,0
